Timestamp,Source_Sat,Source_IP,Interface,Destination_Network,Next_Hop_IP
103000,STARLINK-1062,192.168.1.10,STL-1062-eth0,192.168.4.40/30,192.168.1.9
103000,STARLINK-1062,192.168.1.10,STL-1062-eth0,192.168.19.68/30,192.168.1.9
103000,STARLINK-1062,192.168.1.10,STL-1062-eth0,192.168.10.220/30,192.168.1.9
103000,STARLINK-1062,192.168.1.10,STL-1062-eth0,192.168.28.12/30,192.168.1.9
103000,STARLINK-1062,192.168.1.10,STL-1062-eth0,192.168.27.188/30,192.168.1.9
103000,STARLINK-1062,192.168.1.10,STL-1062-eth0,192.168.1.12/30,192.168.1.9
103000,STARLINK-2380,192.168.1.14,STL-2380-eth0,192.168.26.84/30,192.168.1.13
103000,STARLINK-2380,192.168.1.14,STL-2380-eth0,192.168.26.88/30,192.168.1.13
103000,STARLINK-2380,192.168.1.14,STL-2380-eth0,192.168.26.144/30,192.168.1.13
103000,STARLINK-2380,192.168.1.14,STL-2380-eth0,192.168.11.120/30,192.168.1.13
103000,STARLINK-2380,192.168.1.14,STL-2380-eth0,192.168.11.112/30,192.168.1.13
103000,STARLINK-2380,192.168.1.14,STL-2380-eth0,192.168.11.116/30,192.168.1.13
103000,STARLINK-2380,192.168.1.14,STL-2380-eth0,192.168.28.172/30,192.168.1.13
103000,STARLINK-2380,192.168.1.14,STL-2380-eth0,192.168.1.8/30,192.168.1.13
103000,STARLINK-2380,192.168.27.189,STL-2380-eth2,192.168.30.52/30,192.168.27.190
103000,STARLINK-2380,192.168.27.189,STL-2380-eth2,192.168.4.40/30,192.168.27.190
103000,STARLINK-2380,192.168.27.189,STL-2380-eth2,192.168.19.68/30,192.168.27.190
103000,STARLINK-2380,192.168.27.189,STL-2380-eth2,192.168.10.220/30,192.168.27.190
103000,STARLINK-2380,192.168.27.189,STL-2380-eth2,192.168.28.12/30,192.168.27.190
103001,STARLINK-1152,192.168.19.70,STL-1152-eth4,192.168.26.84/30,192.168.19.69
